symbol,vol1y,turnover_med,max_dd
PFC,0.27726331629819273,2402759064.6012573,-0.7196392500099915
JSFB,0.4108839181515611,133259752.875,-0.5356560711284233
JSL,0.3092926363751293,430919358.79382324,-0.939366885533337
ZUARI,0.464561987895391,41039478.97982025,-0.9285603836541305
BHAGERIA,0.4877074949665382,7662721.320617676,-0.6573993834340031
UNIECOM,0.4369617695769683,31059838.23374939,-0.673856553664658
CELLO,0.3409328688490272,77769010.65530396,-0.6549949269476735
JAYAGROGN,0.3944040768115845,1548636.1846084595,-0.9001698849997504
GRPLTD,0.41996164388338914,4361152.895019531,-0.7152040543094758
MAHLIFE,0.3073892068783199,44716120.5562439,-0.9176677664218216
VISACHROME,0.5219552950294402,963899.4106502533,-0.9572625775782824
NYKAA,0.2727685953017547,1252405109.6851196,-0.7209498261192084
AVL,0.3242318625655666,94182381.04467773,-0.3600303477471609
PFS,0.34420949636766185,15417990.73731327,-0.8812285622054506
MIRZAINT,0.45940526545222166,5201102.478250504,-0.9323886660268271
JPPOWER,0.5023081329008222,646016439.1445217,-0.9970148814789599
ASTERDM,0.2870403572726952,389578523.75,-0.5647303067687681
ZODIACLOTH,0.4308789162946247,426092.560508728,-0.8568259899483534
RAYMONDLSL,0.41888206357455754,93438616.45870972,-0.7537817890144207
MAZDA,0.44593459721098283,3493972.2256393433,-0.6021296199025773
OILCOUNTUB,0.5748651342185351,1822600.489162445,-0.9751994765759789
ACI,0.3185605013463658,77588045.91183472,-0.4921899282133869
MSUMI,0.3072077775878696,280035427.14229965,-0.3962648880974804
MARKSANS,0.4205742491552726,174288792.22949982,-0.9604105632496069
EUREKAFORB,0.31701272836618144,76254965.83407593,-0.3642769488966128
BVCL,0.5717527159960064,761788.2299938202,-0.9206683346647744
BEARDSELL,0.4757247959348054,710836.4534053804,-0.9349275847076924
HIMATSEIDE,0.4249700431055864,45471881.82819748,-0.8856002960117952
CEIGALL,0.3057985357536273,73181117.09796143,-0.4392373153228445
PANACEABIO,0.5622550667426516,52548756.805496216,-0.8931612947511611
GRANULES,0.28864451771592203,495823948.94628906,-0.7783017915623913
GLOSTERLTD,0.29705011413759513,1186749.5244750977,-0.4264333544300982
ACC,0.2212913606340933,269664304.2584839,-0.6829649631617061
GVKPIL,0.24099024838066863,1865255.8451907635,-0.978922717562589
ATALREAL,0.4241135937262151,94147902.48387527,-0.7548317904903858
NKIND,0.5339483674125307,36296.82105636597,-0.8974042022968344
JPOLYINVST,0.5571972843925804,7236473.875457764,-0.9630967737013294
SBC,0.249575548403431,323814021.58565426,-0.5305539543481155
GMRP&UI,0.393268487067801,142947842.7494278,-0.6809210377716947
BSOFT,0.37645170059417,346138362.9219055,-0.8820004820589433
SJS,0.3725308061009352,188321760.3803711,-0.3724000088010986
BHARTIHEXA,0.28100113684379185,248375845.16467285,-0.27153007512191574
MAANALU,0.4750167085352635,9101117.946166992,-0.997270702945594
KIRLOSENG,0.46316461548884685,460574716.4984741,-0.9163398797888244
TICL,0.5282192943336768,7015082.354084015,-0.9926194948448743
EDELWEISS,0.39623406266822747,451304505.3972359,-0.9047472500572398
BLUSPRING,0.5507324143443948,16590747.131240845,-0.5290152432013214
BRIGADE,0.3436385223378421,242769879.07403564,-0.926460065356733
TARIL,0.5944066625583444,733282167.9295044,-0.9326055740873362
ANURAS,0.2485125608797295,328700728.5083008,-0.48417400173604586
DHUNINV,0.39896005295581544,946552.1329650879,-0.7825710894230175
GRINFRA,0.25542353528452394,21457741.12524414,-0.6255797395719804
ADANIPOWER,0.4264796298688932,3912478919.485794,-0.8922218379509421
SAGILITY,0.34970823181207494,911969987.4649906,-0.3333394339433312
TIMKEN,0.27213659008941343,122310776.86108398,-0.6938286014748776
ASHAPURMIN,0.5496953073052723,358852335.4284973,-0.978563348745159
UGARSUGAR,0.363797214419313,4929110.759901047,-0.8719119394083779
GODREJIND,0.4115908770729534,95736799.55566406,-0.8992766703961278
LODHA,0.3611327033835135,1426228455.2346191,-0.5733484877083967
MOTISONS,0.487091026309571,37418255.34173584,-0.6641860488773316
DDEVPLSTIK,0.4194024944368647,28392089.147094727,-0.4591024195682808
ADANIENSOL,0.37918385597118437,1679036029.950348,-0.8536683357796557
PTCIL,0.3507833054143207,230859350.5,-0.4168231088445634
3PLAND,0.3199960916255267,133203.70703983307,-0.9063193278414988
GOLDIAM,0.5682252476624107,207232645.95044708,-0.9378002090203034
AVROIND,0.5176718971170334,2403198.1881284714,-0.6438486889708632
DBSTOCKBRO,0.3690766375909217,164426.72030448914,-0.9377235611621557
CEWATER,0.5047684091124494,15004440.039840698,-0.7083182116779865
SHIVAMILLS,0.39979155072809625,157433.1753501892,-0.7935449703270159
PRAKASHSTL,0.40878988639078045,631636.6911768913,-0.997675838156737
SAPPHIRE,0.45306457760640656,120875542.24945068,-0.6058176211660193
IVP,0.4411904410306918,818765.0825271606,-0.8599027932463491
SDBL,0.5087539511597629,57208765.084796906,-0.8481768459288875
TTL,0.39911422713872086,790149.9489498138,-0.8354308557737296
TMPV,0.5035143668691876,3726585819.089905,-0.8907829863848956
SHOPERSTOP,0.37321752848902745,19160108.879577637,-0.8875205870176945
THOMASCOTT,0.6111382545531164,7931046.8352508545,-0.8865478133963882
VIVIANA,0.7185221964195887,14259833.743286133,-0.6718656688984437
ZYDUSLIFE,0.22779003427525957,741133452.6221313,-0.662986703925247
BHARATGEAR,0.5366016110138729,3032721.925632477,-0.8920993888988499
BODALCHEM,0.42415586312460435,8665320.16229248,-0.7964112034858691
MBAPL,0.3826703372891919,84225936.72060013,-0.9066381160579977
GRSE,0.4553917808323042,2264926466.605957,-0.5489900025676585
LEMERITE,0.4886474008908434,18354244.6424675,-0.8060048359646924
BAJAJ-AUTO,0.22507041428116376,3174192532.0,-0.8002027023848539
JAYNECOIND,0.484901738767608,450795307.99167633,-0.9761456379189043
PCJEWELLER,0.4419191528570468,522295975.8233528,-0.9862094561661285
SOUTHBANK,0.4155069465483093,618693981.2036419,-0.8503026237788885
AHLWEST,0.3711007272724619,0.0,-0.7768470892064862
PNCINFRA,0.32863870120011845,71289901.36598206,-0.7119844763270502
PHOENIXLTD,0.26911960923694883,817586034.6381226,-0.9093326849015736
SUBEXLTD,0.5129769805069163,14408550.66058731,-0.9959920326505228
MANINFRA,0.3870109764049577,65647156.81503296,-0.781924034919937
AHLEAST,0.31277757052012367,443406.10258483887,-0.7305947757501481
SALSTEEL,0.5732583209187295,4600568.935520172,-0.9686520372426866
TRIDENT,0.2997777044824663,113911896.91994286,-0.8522588263982132
SELMC,0.41912979843657633,218607.41081905365,-0.9999926666669492
ICIL,0.6119308456754043,94104951.33599854,-0.9025049094423971
SPENCERS,0.49556568797777123,2849678.671157837,-0.8837020424980403
SOMANYCERA,0.35968555585149814,15860974.506164553,-0.9135542337952369
APLLTD,0.26554538716204285,51919118.13336182,-0.5714393547046654
MADRASFERT,0.3594670409594749,6530919.956573486,-0.823869114838247
WHEELS,0.4384691299384145,70494444.284729,-0.7687732296400223
FIVESTAR,0.39525397868991136,428008825.2125244,-0.6129456844441629
GODIGIT,0.24824409775978348,85438023.86010742,-0.3834086404119995
ASKAUTOLTD,0.3630512342089741,74024647.28837585,-0.33606983803534485
SIRCA,0.2839711673540737,133615163.49349976,-0.5182855994173604
UNIDT,0.3681916687795425,1627529.7719802856,-0.741064732689922
TRENT,0.46665444241397713,3173653659.7650146,-0.7330319532736135
ADL,0.5102458673836162,74428.99008178711,-0.64174626008761
SADBHAV,0.5763102109027456,1954338.159543991,-0.9856417565687495
NATIONALUM,0.4128114811864979,3047250632.2386627,-0.8053038971090626
DONEAR,0.34241634503269813,2436479.868686676,-0.9583429110675369
MANAKCOAT,0.46113213233019157,27129887.31552124,-0.9048583075278219
KAMATHOTEL,0.443118902515023,9907996.584396362,-0.9453192733198182
JTEKTINDIA,0.42797620464139097,19579068.418045044,-0.8368344641004823
LFIC,0.4690764516411767,238217.29721069336,-0.7604962962522954
SPLPETRO,0.3946560815964937,35917684.210235596,-0.7878795740196093
BTML,0.5629485482949796,1600945.987594366,-0.7490884489594964
INNOVACAP,0.3416811580944927,23808049.845458984,-0.4800403017984448
BBTC,0.3009996870044041,61568260.79333496,-0.8913321462948885
COHANCE,0.5115028169366141,268577557.86398315,-0.790211359511265
AEGISLOG,0.46504210289039527,338540005.94122314,-0.8628633894203845
SHREEPUSHK,0.519523342761435,19348804.552719116,-0.8178505350335764
NILASPACES,0.44595701988838854,6654579.765932083,-0.8936170169593737
DBEIL,0.467703482918836,4041410.284552574,-0.7357888854749992
SALONA,0.3694768482481642,159862.39826965332,-0.8309940228200622
DEEDEV,0.5352685076885935,53349932.59890747,-0.5331151672682837
NAHARSPING,0.38268748019517984,3690469.8731536865,-0.852898527471996
GRINDWELL,0.3559352802850876,55001710.13195801,-0.5939665039564274
APOLLO,0.589099182008159,1558833605.6160736,-0.9060280310201464
DATAPATTNS,0.4921997687221024,2039062073.1152344,-0.5840834418965246
INTELLECT,0.4018245948466273,274999375.12506104,-0.8420774721115601
DICIND,0.3577273293377884,818110.3550109863,-0.6552609464368119
GUJRAFFIA,0.5871683634968542,130363.79281997682,-0.9175515346281097
JGCHEM,0.4437906622902487,32010666.356811527,-0.4171122489730916
PIXTRANS,0.31929379080038855,16176740.271484375,-0.5308791185009467
GRAVITA,0.35933311571064136,334828253.0360718,-0.9122551483610216
RUSTOMJEE,0.3260819359555832,15523887.203979492,-0.5186799310359187
RUCHINFRA,0.46778186878748446,413220.01899290085,-0.9740902475635917
TATATECH,0.32332116404949285,493193108.9425049,-0.6022942402148939
IGPL,0.3714323252037228,8909647.510726929,-0.8946271090141571
TNTELE,0.505549510162819,230408.22883701324,-0.9622266400601008
KHADIM,0.49459220182728847,6696326.8561935425,-0.9191802682403973
DCBBANK,0.38241179798128305,221783582.73124695,-0.912988650685504
KIRLFER,0.2935164032736154,37052036.30783081,-0.4898702543566026
KNRCON,0.38165194379259176,154850460.67277527,-0.8584717701602075
INGERRAND,0.30614862652552394,37791237.6418457,-0.509990018218738
SEYAIND,0.3965225808396237,70102.10544109344,-0.9807201042478836
ORCHASP,0.5591633438077411,531519.9416582583,-0.6591478669036352
URJA,0.3915841392752664,11732532.964122295,-0.9045226787585068
ESAFSFB,0.4425285914114115,12403393.16849327,-0.7439013388194073
KKCL,0.3271148541592823,12529503.818023682,-0.8280720995794183
RAJSREESUG,0.5114850294577603,1376141.9825849533,-0.9183228153271598
SCHNEIDER,0.48184328819468697,168343727.46444702,-0.7344570790428009
ARIHANTCAP,0.48159929759079756,24976643.62984085,-0.6377163133252566
GUJTHEM,0.4961247456907731,32220159.866699222,-0.5171313112498808
MUFIN,0.37856877101476055,100759696.18701553,-0.7600445388944455
OFSS,0.3316932815632175,1259396043.0,-0.8355163022553451
ASHOKAMET,0.3480120333419571,286504.16041851044,-0.6455072596453238
PARASPETRO,0.5466303567483948,245280.81760847566,-0.9666666661699613
ZENSARTECH,0.3869070917081452,274151466.44758606,-0.904525364244999
BDL,0.38432131216688115,1643573514.003357,-0.5931605066282648
CASTROLIND,0.13316814777790892,229609995.58594516,-0.6149259628590449
SHEKHAWATI,0.6384492247241909,370743.1798071861,-0.9749373427194222
LYKALABS,0.44297383537460433,1737441.2547569275,-0.9252770872134954
DCXINDIA,0.47685002327206166,137300774.98379517,-0.6527133672419057
SERVOTECH,0.555764481064541,61031761.79219818,-0.8478260915334092
PVRINOX,0.28607803485546485,305934317.6845093,-0.8311846000550033
KNAGRI,0.5152495056203518,2541253.8128204346,-0.5997631770948205
SYNGENE,0.3193951395655865,352626122.2559204,-0.5909023940281681
ABDL,0.40853570538710327,189161521.73773193,-0.438212943760379
APCOTEXIND,0.42916539978465434,11428385.746612549,-0.7225608523407687
SARVESHWAR,0.46973762113294,13100552.25982833,-0.8847991745158713
OSIAHYPER,0.6022236151518244,3872086.0196311474,-0.9683804634749126
SPECTRUM,0.5582455939401362,8117951.263671875,-0.5676250832490441
LUMAXIND,0.5086237968199833,80188729.25268555,-0.8880908316642917
ESCORTS,0.3058475543036896,305020139.201416,-0.8141881538915924
RTNPOWER,0.32371213660356035,121986051.49890184,-0.9746835443037974
CAMPUS,0.2668558227498211,63031171.89949036,-0.6605206486155102
RPTECH,0.418954275441906,58252763.97494507,-0.43054150851228057
AJANTPHARM,0.25346630238577844,254773275.71044922,-0.5908376433107089
OBEROIRLTY,0.26793562554730654,679481994.3331299,-0.5286630372116518
WEALTH,0.38678708939055223,2373506.2743225098,-0.524834333741625
TBOTEK,0.3988329815560401,129570192.57617188,-0.4744892601732593
DOMS,0.27067386938793186,91584391.49914551,-0.3293265769181265
MAGNUM,0.46986181943166044,791688.1246395111,-0.968309875770728
TANLA,0.4576359012826344,213597721.97607422,-0.9934377636216792
WELSPUNLIV,0.4630906615610415,215621363.79212952,-0.8828788676939929
GOPAL,0.32266967982568806,26857246.532196045,-0.5093895477683907
RELIGARE,0.3754071676392883,254601347.27999878,-0.9737774451836442
SHANTI,0.4471540388985437,253179.84955310822,-0.8665803031360173
TCIFINANCE,0.685921466371198,258021.27327013016,-0.9781818177964953
LLOYDSENGG,0.49424493810260284,213415271.56487274,-0.9210527142320512
LAKPRE,0.5464070871789419,4198.155100822449,-0.9909212116298172
SECMARK,0.59206243976813,174173.08616638184,-0.40022139835667503
PREMIERENE,0.3340026383901157,1077105623.4053345,-0.5020398093197718
INDIASHLTR,0.3189228312785874,92869859.0203247,-0.3502890923925006
DANGEE,0.491299000245552,254886.2914185524,-0.9131499859672574
PRICOLLTD,0.3827486740662026,209941245.67797852,-0.8580359193812162
LT,0.2467009196511102,7033162833.132324,-0.7491648271361395
GALAPREC,0.43319086550986674,12248491.36932373,-0.5003080402895287
LIKHITHA,0.508002154165185,9399008.100128174,-0.7216724357880901
KRITIKA,0.46980849050796425,1020109.6422719955,-0.8229166652869295
GLOBAL,0.4300436281813898,5680553.893875122,-0.8526847747157134
GLOBALE,0.40918125671733174,84568.18338108063,-0.8629317405736154
KRSNAA,0.30186761231036874,33475368.1612854,-0.6330704991943514
BOROLTD,0.3769105458941196,17901634.125,-0.569230757035933
TSFINV,0.43124640044252033,41329102.90916443,-0.8799707052757706
SCPL,0.5659172595870644,3641249.060836792,-0.7231690803038605
HISARMETAL,0.3461645276221028,313776.4068145752,-0.746286318485311
DVL,0.39506696403708685,3718992.823905945,-0.7831670089417233
PTL,0.1693336822096888,1489375.888408661,-0.8212053831203425
BELRISE,0.3702075498479746,866578043.4495087,-0.14670337206566353
MAXIND,0.4376072386810268,6479228.779716492,-0.6272754969684731
STYLAMIND,0.35381178370389765,90710242.13500977,-0.4356087887407698
KPRMILL,0.4120402943680493,234029672.8100891,-0.8887590620508361
HEXATRADEX,0.20232487138473018,409423.0135345459,-0.9501816267072998
RVNL,0.338685822296091,1636007910.6739502,-0.6443425120226871
PALASHSECU,0.2914368922409763,153214.8555984497,-0.8164201994925149
AGI,0.4107107981534228,67788739.63879395,-0.7900584975673953
TIPSMUSIC,0.3756283722308031,108456259.83325195,-0.8423000525814827
ADANIENT,0.3393672686927179,3055173954.942749,-0.8103344072012846
JAICORPLTD,0.47776635241879495,62923856.220687866,-0.9734927707705375
AUROPHARMA,0.2613153811564049,1363414037.819519,-0.8667754390745734
