date,level,dma50,dma200
2006-01-02,1.0,,
2006-01-03,1.0168594347723858,,
2006-01-04,1.0237078804118922,,
2006-01-05,1.0276904229315893,,
2006-01-06,1.0306979715704416,,
2006-01-09,1.036968664567253,,
2006-01-10,1.0285381437586576,,
2006-01-12,1.0284955948602295,,
2006-01-13,1.0306823083416237,,
2006-01-16,1.0240790007845204,,
2006-01-17,1.0133404583873986,,
2006-01-18,1.009904563049607,,
2006-01-19,1.0287873817449924,,
2006-01-20,1.0348526978006998,,
2006-01-23,1.0342967934730471,,
2006-01-24,1.0395059586579383,,
2006-01-25,1.0413284547382708,,
2006-01-27,1.0546935750491264,,
2006-01-30,1.0419847022107631,,
2006-01-31,1.042774755338237,,
2006-02-01,1.0336216092610044,,
2006-02-02,1.0340080554467803,,
2006-02-03,1.0362108587047567,,
2006-02-06,1.048542026427629,,
2006-02-07,1.051991060733036,,
2006-02-08,1.0524799474206796,,
2006-02-10,1.0638330133924567,,
2006-02-13,1.0732903165657464,,
2006-02-14,1.069117865098527,,
2006-02-15,1.070706386558066,,
2006-02-16,1.07391197095619,,
2006-02-17,1.059426895487785,,
2006-02-20,1.0544114306565848,,
2006-02-21,1.0600822773932739,,
2006-02-22,1.0602898810643167,,
2006-02-23,1.0575659340227284,,
2006-02-24,1.0611615574347795,,
2006-02-27,1.0649456307552359,,
2006-02-28,1.0661445648860526,,
2006-03-01,1.079607564371743,,
2006-03-02,1.0852228072042265,,
2006-03-03,1.0901533751437893,,
2006-03-06,1.103123146291003,,
2006-03-07,1.11201691639729,,
2006-03-08,1.0973962032211946,,
2006-03-09,1.1021004217560617,,
2006-03-10,1.1267014573371308,,
2006-03-13,1.1271079280316885,,
2006-03-14,1.1232806692003479,,
2006-03-16,1.127284451761408,1.0570984997086037,
2006-03-17,1.1246835154869963,1.0595921700183437,
2006-03-20,1.1300948083424853,1.0618568774897457,
2006-03-21,1.1263807303979114,1.063910334489466,
2006-03-22,1.1189033203825987,1.0657345924384862,
2006-03-23,1.1244380471749087,1.0676093939505755,
2006-03-24,1.1335141234712298,1.0695403031286552,
2006-03-27,1.143663672803069,1.0718428137095433,
2006-03-28,1.1339105080329817,1.0739511119729983,
2006-03-29,1.1424554855877014,1.07618657551792,
2006-03-30,1.154167236198634,1.0787883402262022,
2006-03-31,1.1880477631610746,1.0822824863216756,
2006-04-03,1.2174366532512921,1.0864331281257094,
2006-04-04,1.2252730483332115,1.0903628414574738,
2006-04-05,1.2465992782073918,1.0945977730656076,
2006-04-07,1.2304949467197974,1.0985217361305426,
2006-04-10,1.2404685391092964,1.1025409877395698,
2006-04-12,1.2172051639899428,1.1060585219246033,
2006-04-13,1.1942211523574369,1.1088490734707694,
2006-04-17,1.2183145554851673,1.1123756705362575,
2006-04-18,1.2312217407709873,1.1161446102449126,
2006-04-19,1.2320306719701848,1.120112791499096,
2006-04-20,1.239401427441841,1.1242206589389974,
2006-04-21,1.2381727872891424,1.128259897510685,
2006-04-24,1.2432417008513093,1.1321538909991586,
2006-04-25,1.2237855229137455,1.135589780242773,
2006-04-26,1.2418437011161867,1.139377055316683,
2006-04-27,1.2428839863417573,1.142958074775669,
2006-04-28,1.2398828229249943,1.146289924902854,
2006-05-02,1.2888392214586906,1.1506843520300571,
2006-05-03,1.298504986522845,1.1552403240293527,
2006-05-04,1.2991597489529507,1.159745279589288,
2006-05-05,1.3032710411335464,1.1646221625022033,
2006-05-08,1.3141437303792547,1.1698168084966567,
2006-05-09,1.320752218592488,1.175030207320641,
2006-05-10,1.3310011907683261,1.180444433514721,
2006-05-11,1.3195131375796636,1.1856833775858597,
2006-05-12,1.3108462023692997,1.1906770704845502,
2006-05-15,1.2676821593314527,1.1947318010560746,
2006-05-16,1.2610835979085024,1.1986305817165235,
2006-05-17,1.2973666802083115,1.202985764033255,
2006-05-18,1.2170197747251634,1.2056217033836738,
2006-05-19,1.1684191320234345,1.2071870185212665,
2006-05-22,1.1013391843546378,1.2071513392825393,
2006-05-23,1.1428080185937919,1.2077671613264693,
2006-05-24,1.1390312269304692,1.2085998618006548,
2006-05-25,1.1340412874924317,1.2092386791153822,
2006-05-26,1.1587223879855295,1.20987909772835,
2006-05-29,1.1664878417326958,1.2106666960023704,
2006-05-30,1.161934412511653,1.2114397708685964,
2006-05-31,1.1274440845641893,1.211442963524652,
2006-06-01,1.0935759445071165,1.2108208121050545,
2006-06-02,1.0953976915195516,1.2101268697685958,
2006-06-05,1.077816058379027,1.2091555763282182,
2006-06-06,1.0467664435889201,1.2077128387923446,
2006-06-07,0.987687070973216,1.2049778192683107,
2006-06-08,0.9152358788515379,1.2006122543759168,
2006-06-09,0.9736840838288519,1.1972126625964326,
2006-06-12,0.9577033698462264,1.1936885198326974,
2006-06-13,0.9049068103914945,1.1889375463287732,
2006-06-14,0.8854745018331949,1.1835636916414645,
2006-06-15,0.9303725493654148,1.1784101873655513,
2006-06-16,0.9667068337483333,1.173395590975492,
2006-06-19,0.9886883404524087,1.1686638968178762,
2006-06-20,0.9915406974442852,1.163562725202614,
2006-06-21,1.0182361938609599,1.1593175501454371,
2006-06-22,1.0399719879319225,1.1553076191218896,
2006-06-23,1.0443722352946325,1.1518509605479834,
2006-06-26,1.0119386885509978,1.1482053112718547,
2006-06-27,1.0051762028959987,1.1439425442200715,
2006-06-28,1.0015706342713206,1.139349522090078,
2006-06-29,1.0068064834062185,1.1348450383187987,
2006-06-30,1.0378891922768494,1.1308147936154989,
2006-07-03,1.0400648110895088,1.1268526340915062,
2006-07-04,1.0386688594353715,1.1227611772631874,
2006-07-05,1.0480102845606196,1.1192456724961248,
2006-07-06,1.042925624188321,1.1152673109575675,
2006-07-07,1.026235320612222,1.1109343376429768,
2006-07-10,1.0314341867896235,1.1067653649202693,
2006-07-11,1.0331319697172303,1.1016512198854402,
2006-07-12,1.0416346073782714,1.0965138123025489,
2006-07-13,1.0433655355855211,1.0913979280352002,
2006-07-14,1.0357322113089031,1.0860471514387073,
2006-07-17,1.0124382597795887,1.080013042026714,
2006-07-18,0.9988804221885079,1.0735756060986343,
2006-07-19,0.9736889770602519,1.066429361824473,
2006-07-20,0.9918282787279546,1.0598756646474385,
2006-07-21,0.9701819778526748,1.0530623801571062,
2006-07-24,0.9670468535892562,1.0470496740422623,
2006-07-25,0.986654214424386,1.04156108637258,
2006-07-26,1.003987872435679,1.0356935102171274,
2006-07-27,1.0153433571762913,1.0316599818661498,
2006-07-28,1.0251026944795458,1.0287936531152722,
2006-07-31,1.0345436249492415,1.0274577419271642,
2006-08-01,1.0308809336678169,1.0252192002286447,
2006-08-02,1.0438932824788636,1.0233164413396125,
2006-08-03,1.0478978389705764,1.0215935723691754,
2006-08-04,1.0444658945074496,1.019308442499614,
2006-08-07,1.043830237730801,1.016855290419576,
2006-08-08,1.057753807752381,1.0147716783243905,
2006-08-09,1.0744704389036681,1.01371220541118,
2006-08-10,1.0885208659671757,1.0136111038403812,
2006-08-11,1.1035868256459296,1.0137748865229088,
2006-08-14,1.1240017297001526,1.0146985999493312,
2006-08-16,1.1413728067272857,1.0165907272120986,
2006-08-17,1.132266814657627,1.019482322085787,
2006-08-18,1.1370485194759032,1.0239185748982742,
2006-08-21,1.146877045348484,1.0273824341286668,
2006-08-22,1.1462593754562873,1.031153554240868,
2006-08-23,1.1368492851587806,1.0357924037362138,
2006-08-24,1.142116500412117,1.0409252437077923,
2006-08-25,1.1531031605492095,1.0453798559314682,
2006-08-28,1.1571715115698897,1.0491891494878993,
2006-08-29,1.158151113028334,1.0525784049394178,
2006-08-30,1.1566667943710272,1.0558809268779525,
2006-08-31,1.1478932783958253,1.05847406856865,
2006-09-01,1.1572334427642867,1.0608192976652973,
2006-09-04,1.1725411088957178,1.063382675137319,
2006-09-05,1.176500694382471,1.0666739152539484,
2006-09-06,1.1820385515472416,1.0702111622269732,
2006-09-07,1.180557308782619,1.073790895717199,
2006-09-08,1.193213932813216,1.077519044705339,
2006-09-11,1.1590018446827373,1.0799412977534568,
2006-09-12,1.1675373624924597,1.0824907487815159,
2006-09-13,1.1872780661718947,1.0854629329162464,
2006-09-14,1.1948512677554848,1.0883997525801439,
2006-09-15,1.1971904945016971,1.0914850499864113,
2006-09-18,1.2043965174417646,1.095048273923002,
2006-09-19,1.1916752817839698,1.0982530958228889,
2006-09-20,1.1984115997290872,1.101558688423126,
2006-09-21,1.207954182978221,1.104885079935125,
2006-09-22,1.2469699637759104,1.108957168498933,
2006-09-25,1.245158349102474,1.1131456912548043,
2006-09-26,1.248810180265165,1.117873129664516,
2006-09-27,1.2531777574023677,1.122959076368793,
2006-09-28,1.2637369810834038,1.128760036449256,
2006-09-29,1.275555308005417,1.1344345770348054,
2006-10-03,1.2792335133442152,1.140615607744636,
2006-10-04,1.2722024016383144,1.1467187187056174,
2006-10-05,1.293791229045204,1.1528614589980335,
2006-10-06,1.3025022287894812,1.1588317461251096,
2006-10-09,1.3091713031889722,1.1647083050453633,
2006-10-10,1.3100314810812483,1.1704068807773975,
2006-10-11,1.2979867374741518,1.1756757430278955,
2006-10-12,1.3114018057301287,1.1812861604691418,
2006-10-13,1.3182435999809776,1.186773166819184,
2006-10-16,1.3170094349156398,1.1921553987380853,
2006-10-17,1.310073927028637,1.1974675593885091,
2006-10-18,1.3122711580269664,1.2028363777944324,
2006-10-19,1.3080941223975773,1.2078431840873365,
2006-10-20,1.314704714225897,1.212647869593781,1.1237253845595543
2006-10-23,1.31825141917951,1.2172424806580275,1.1253166416554519
2006-10-26,1.3244012901731406,1.2216587699485717,1.1268543509324556
2006-10-27,1.3351667727142589,1.225882070808854,1.1284116453939672
2006-10-30,1.336168551600596,1.22977798570632,1.1299540360373124
2006-10-31,1.3296316689583747,1.233725282792335,1.131448704524252
2006-11-01,1.338367144381911,1.2377516552904553,1.1329556969233254
2006-11-02,1.3465798878016315,1.2417457121395181,1.1345459056435403
2006-11-03,1.3466067710044698,1.2457526600504818,1.1361364615242615
2006-11-06,1.351932454716791,1.2500543234416421,1.1377427122561372
2006-11-07,1.3526007769212334,1.2542640089718242,1.1393853211368208
2006-11-08,1.3389990654106152,1.2579819270690527,1.141013614171937
2006-11-09,1.347888321444974,1.261796263266554,1.1427035329639137
2006-11-10,1.3558187504780257,1.2657496160155481,1.144338689807579
2006-11-13,1.3693276908620473,1.2700028339453684,1.1460110647728856
2006-11-14,1.364345099318599,1.274331870363824,1.1476613063021135
2006-11-15,1.3638494313411933,1.2784641901353622,1.1492830236655296
2006-11-16,1.3643427194915647,1.282300222347279,1.1508980949892962
2006-11-17,1.3434545777366467,1.2856393000143627,1.1523419000027337
2006-11-20,1.3286784200676487,1.2885720973847705,1.1537753685920182
2006-11-21,1.6353430583002297,1.2976678123751229,1.156738210106828
2006-11-22,1.6428599111089772,1.306660731941038,1.1597844016160679
2006-11-23,1.6476734389395054,1.3164341638261734,1.1628527285335317
2006-11-24,1.654641959573948,1.3261762557678034,1.1659448840378774
2006-11-27,1.665856715753681,1.3357478287594389,1.1690314574845078
2006-11-28,1.6534477299133745,1.3449197580025969,1.1720387408304096
2006-11-29,1.6718643573086525,1.354413235258736,1.1751356628798495
2006-11-30,1.6703243316576044,1.3637317915430527,1.178168119471175
2006-12-01,1.6911917616699406,1.373722121140772,1.181257626696696
2006-12-04,1.7035781561694572,1.3838254522695794,1.1844299281520507
2006-12-05,1.7058510345108588,1.393783389300232,1.1876056513918147
2006-12-06,1.6917232968027558,1.402678455960769,1.1906947080210475
2006-12-07,1.692840248701283,1.4116320939527456,1.193861774787115
2006-12-08,1.6833748117569947,1.420323386582582,1.1970065916926171
2006-12-11,1.6375079902688283,1.4280099912399111,1.199893720256995
2006-12-12,1.5740359375790263,1.4342159703698234,1.2024624505395685
2006-12-13,1.6016922181405902,1.440738708572527,1.2051830819601579
2006-12-14,1.641488748599944,1.4479838132776413,1.2080847179159835
2006-12-15,1.6587698004820672,1.4557151612545167,1.2110538387646177
2006-12-18,1.6573890943872491,1.4629871185613574,1.2140100614121236
2006-12-19,1.634837848352258,1.4696338309526131,1.2167862128320264
2006-12-20,1.6277780000339894,1.4760059648895134,1.2194989887961751
2006-12-21,1.63443467671587,1.4824940288022057,1.2222203953040354
2006-12-22,1.6502059655584211,1.4895384133638914,1.2249558094003725
2006-12-26,1.667926662316805,1.4966689104956248,1.2277353581299701
2006-12-27,1.6818070083162902,1.5039401786623312,1.2306574121554457
2006-12-28,1.6866074354610048,1.5113321386732383,1.2335799472239704
2006-12-29,1.695694490423649,1.5190445499411385,1.2364249123894029
2007-01-02,1.7107604407962664,1.5270143355965247,1.239343174953226
2007-01-03,1.7251230127569483,1.535354913403712,1.2423523866710087
2007-01-04,1.728382075109413,1.5436284606213824,1.2453578747877487
2007-01-05,1.7295533575882818,1.5518544993895578,1.2483822239982552
2007-01-08,1.7222607484928123,1.5598116885559512,1.2513430536990071
2007-01-09,1.7133996622654644,1.5673763463469752,1.2542781483583447
2007-01-10,1.6965827671875195,1.5745846306587137,1.2571665455923693
2007-01-11,1.7213521367146523,1.5824190400138394,1.260151116040068
2007-01-12,1.7503425055332325,1.590658547236866,1.263235257950378
2007-01-15,1.7680836799060742,1.5990886230789545,1.2663573579858929
2007-01-16,1.7727231774943688,1.6076109512087524,1.2695514213332
2007-01-17,1.7831211998512768,1.6162347261114423,1.2727547499045178
2007-01-18,1.7901685845912951,1.6249860822648434,1.2759347566464811
2007-01-19,1.7798514499235498,1.6338031299551021,1.2788937750802936
2007-01-22,1.7842142037210234,1.642529647600623,1.2817276628326422
2007-01-23,1.7609310825206865,1.6506318942414766,1.2844059530035796
2007-01-24,1.766499333522466,1.6585753270946848,1.287005453280155
2007-01-25,1.7768514133476854,1.6668254533752664,1.2897372356132941
2007-01-29,1.7854259629951528,1.6752569840083456,1.2924620227327237
2007-01-31,1.7691727361917837,1.6833535843423502,1.295221860593733
2007-02-01,1.7796869267934057,1.6920782313234852,1.2981491894659127
2007-02-02,1.7882985850298772,1.7012706346227298,1.3009991096136364
2007-02-05,1.7980462158794124,1.7045246977743136,1.3038332319891786
2007-02-06,1.8340594280326457,1.7083486881127867,1.3068433757694908
2007-02-07,1.8404008452727378,1.7122032362394515,1.3098483728586452
2007-02-08,1.8368840856508302,1.7158480787609889,1.3128419293504536
2007-02-09,1.810585909958176,1.718742662645079,1.3156786503959879
2007-02-12,1.7435177913918338,1.720544063874648,1.3182773117383784
2007-02-13,1.7352536151803881,1.7218118490320828,1.3207443613086993
2007-02-14,1.732409273258157,1.723053547864094,1.3231919877432816
2007-02-15,1.7759214940210177,1.7247481425111155,1.3258721810987615
2007-02-19,1.7789449470454146,1.7262554783286348,1.328322709726695
